2025-09-30 10:18:28, EXEC, v:1, k:calculadora, mode:FULL, rate:36, size:46
2025-09-30 10:18:48, EXEC, v:1, k:calculadora, mode:FREE
2025-09-30 10:22:31, EXEC, v:1, k:calculadora, mode:FULL, rate:36, size:46
2025-09-30 10:23:32, EXEC, v:1, k:calculadora, mode:FULL, rate:36, size:46
2025-09-30 10:24:01, EXEC, v:1, k:calculadora, mode:FREE
2025-09-30 10:30:18, EXEC, v:1, k:calculadora, mode:FULL, rate:36, size:46
2025-09-30 10:32:05, EXEC, v:1, k:calculadora, mode:FULL, rate:36, size:47
2025-09-30 10:35:14, EXEC, v:1, k:calculadora, mode:FULL, rate:36, size:47
2025-09-30 10:36:15, EXEC, v:1, k:calculadora, mode:FULL, rate:0, size:47
2025-09-30 10:40:15, EXEC, v:1, k:calculadora, mode:FULL, rate:9, size:47
2025-09-30 10:40:39, EXEC, v:1, k:calculadora, mode:FULL, rate:36, size:46
2025-09-30 10:43:17, EXEC, v:1, k:calculadora, mode:FULL, rate:36, size:46
2025-09-30 10:45:45, EXEC, v:1, k:calculadora, mode:FULL, rate:36, size:46
2025-09-30 10:49:13, EXEC, v:1, k:calculadora, mode:FULL, rate:36, size:47
2025-09-30 10:54:16, EXEC, v:1, k:calculadora, mode:FULL, rate:36, size:47
2025-09-30 10:54:49, EXEC, v:1, k:calculadora, mode:FULL, rate:72, size:47
2025-09-30 10:58:39, EXEC, v:1, k:calculadora, mode:FULL, rate:72, size:60
2025-09-30 10:59:43, EXEC, v:1, k:calculadora, mode:FULL, rate:72, size:60
2025-09-30 11:04:56, EXEC, v:1, k:calculadora, mode:FULL, rate:81, size:60
2025-09-30 11:11:00, EXEC, v:1, k:calculadora, mode:FULL, rate:81, size:62
2025-09-30 11:11:36, EXEC, v:1, k:calculadora, mode:FULL, rate:81, size:63
2025-09-30 11:12:55, EXEC, v:1, k:calculadora, mode:FULL, rate:81, size:63
2025-09-30 11:13:19, EXEC, v:1, k:calculadora, mode:FULL, rate:100, size:64
